QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,1000.11596, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.048906376,0.009545334,0.00E+00,0.029225855,315.8463899
0.999884058,0.093737222,0.037346119,0.00E+00,0.06554167,
1.999768116,0.105171351,0.043908536,0.00E+00,0.074539943,
2.999652174,0.090340945,0.046772136,0.00E+00,0.068556541,
3.999536232,0.091699456,0.048084619,0.00E+00,0.069892037,
4.99942029,0.12102064,0.057033369,0.00E+00,0.089027005,
5.999304348,-0.009849201,-0.00393745,0.00E+00,-0.006893326,
6.999188406,0.046415774,0.039971085,0.00E+00,0.04319343,
7.999072464,0.083661602,0.033527985,0.00E+00,0.058594794,
8.998956522,0.074378448,0.053334553,0.00E+00,0.0638565,
9.99884058,0.121360268,0.071470687,0.00E+00,0.096415477,
10.99872464,0.107548745,0.101538488,0.00E+00,0.104543616,
11.9986087,0.083208766,0.054050453,0.00E+00,0.068629609,
12.99849275,0.116039435,0.083402354,0.00E+00,0.099720894,
13.99837681,-0.007245389,-0.024459918,0.00E+00,-0.015852654,
14.99826087,-0.021509749,-0.06383442,0.00E+00,-0.042672084,
15.99814493,0.121133849,0.093663588,0.00E+00,0.107398719,
16.99802899,0.048679958,0.020999734,0.00E+00,0.034839846,
17.99791304,0.088189971,0.055959519,0.00E+00,0.072074745,
18.9977971,0.039736431,0.001670433,0.00E+00,0.020703432,
19.99768116,0.078114351,0.033289352,0.00E+00,0.055701851,
20.99756522,0.052868699,0.024698551,0.00E+00,0.038783625,
21.99744928,0.073699192,0.048084619,0.00E+00,0.060891906,
22.99733333,0.063397155,0.035079102,0.00E+00,0.049238128,
23.99721739,0.079586071,0.045340336,0.00E+00,0.062463203,
24.99710145,0.078906816,0.035556368,0.00E+00,0.057231592,
25.99698551,0.063057527,0.026607618,0.00E+00,0.044832573,
26.99686957,0.076076586,0.038658602,0.00E+00,0.057367594,
27.99675362,0.070189707,0.032215502,0.00E+00,0.051202604,
28.99663768,0.108228,0.07564677,0.00E+00,0.091937385,
29.99652174,0.008717109,-0.041164252,0.00E+00,-0.016223572,
30.9964058,0.063170736,0.043908536,0.00E+00,0.053539636,
31.99628986,0.092265502,0.06634007,0.00E+00,0.079302786,
32.99617391,0.056831021,0.029590535,0.00E+00,0.043210778,
33.99605797,0.12951133,0.075050187,0.00E+00,0.102280759,
34.99594203,0.09679387,0.055601569,0.00E+00,0.07619772,
35.99582609,0.087623925,0.06025492,0.00E+00,0.073939422,
36.99571014,0.081171,0.043669902,0.00E+00,0.062420451,
37.9955942,0.076303004,0.045817602,0.00E+00,0.061060303,
38.99547826,0.062491481,0.033885935,0.00E+00,0.048188708,
39.99536232,0.059548042,0.025056501,0.00E+00,0.042302271,
40.99524638,0.056378184,0.025414451,0.00E+00,0.040896318,
41.99513043,0.091925874,0.049158469,0.00E+00,0.070542172,
42.99501449,0.060340506,0.023147435,0.00E+00,0.04174397,
43.99489855,0.109133673,0.043789219,0.00E+00,0.076461446,
44.99478261,0.045396891,0.007159,0.00E+00,0.026277946,
45.99466667,-0.085699368,-0.128504056,0.00E+00,-0.107101712,
46.99455072,0.057510276,0.023147435,0.00E+00,0.040328855,
47.99443478,0.053774372,0.011215767,0.00E+00,0.03249507,
48.99431884,0.092265502,0.052976603,0.00E+00,0.072621052,
49.9942029,0.112190322,0.076124037,0.00E+00,0.094157179,
50.99408696,0.082755929,0.061209453,0.00E+00,0.071982691,
51.99397101,0.057736694,0.047726669,0.00E+00,0.052731682,
