QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
milliSeconds,Real,Real,Real,
 0.00000E+000, 0.0276230460, 0.0793455872, 0.00000E+000,
 0.1666666667, 0.0586423680, 0.0273235180, 0.00000E+000,
 0.3333333333, 0.0382647112, 0.0427153687, 0.00000E+000,
 0.5000000000, 0.0283023012,-0.0374654352, 0.00000E+000,
 0.6666666667, 0.0332835062, 0.0190906676, 0.00000E+000,
 0.8333333333, 0.0390571756, 0.0868625376, 0.00000E+000,
 1.0000000000, 0.0441515898, 0.0137214173, 0.00000E+000,
 1.1666666667, 0.0370194099, 0.0233860678, 0.00000E+000,
 1.3333333333, 0.0177738451,-0.0624026197, 0.00000E+000,
 1.5000000000, 0.0475478660, 0.0241019678, 0.00000E+000,
 1.6666666667, 0.0529819078, 0.0761240370, 0.00000E+000,
 1.8333333333, 0.0100756192,-0.0034601835, 0.00000E+000,
 2.0000000000, 0.0416609873, 0.0214770010, 0.00000E+000,
 2.1666666667, 0.0370194099,-0.0593003862, 0.00000E+000,
 2.3333333333, 0.0569442300, 0.0028636001, 0.00000E+000,
 2.5000000000, 0.0290947656, 0.0755274537, 0.00000E+000,
 2.6666666667, 0.0388307572,-0.0056078836, 0.00000E+000,
 2.8333333333, 0.0369062007, 0.0466528189, 0.00000E+000,
 3.0000000000, 0.0450572635,-0.0474880356, 0.00000E+000,
 3.1666666667, 0.0332835062,-0.0119316672, 0.00000E+000,
 3.3333333333, 0.0346420166, 0.0644310031, 0.00000E+000,
 3.5000000000, 0.0464157739,-0.0066817337, 0.00000E+000,
 3.6666666667, 0.0578499036, 0.0534538693, 0.00000E+000,
 3.8333333333, 0.0387175480, 0.0137214173, 0.00000E+000,
 4.0000000000, 0.0348684351,-0.0283973680, 0.00000E+000,
 4.1666666667, 0.0442647990,-0.0516641192, 0.00000E+000,
 4.3333333333, 0.0572838576, 0.0823285040, 0.00000E+000,
 4.5000000000, 0.0401892677, 0.0260110346, 0.00000E+000,
 4.6666666667, 0.0252456527, 0.0189713509, 0.00000E+000,
 4.8333333333, 0.0426798702, 0.0236247011, 0.00000E+000,
 5.0000000000, 0.0455101003, 0.0409256187, 0.00000E+000,
 5.1666666667, 0.0478874936, 0.0096646505, 0.00000E+000,
 5.3333333333, 0.0296608116, 0.0242212845, 0.00000E+000,
 5.5000000000, 0.0489063764,-0.0387779186, 0.00000E+000,
 5.6666666667, 0.0461893555,-0.0795842205, 0.00000E+000,
 5.8333333333, 0.0290947656, 0.0583458528, 0.00000E+000,
 6.0000000000, 0.0202644476, 0.0068010503, 0.00000E+000,
 6.1666666667, 0.0513969789, 0.0314996015, 0.00000E+000,
 6.3333333333, 0.0410949413,-0.0548856693, 0.00000E+000,
 6.5000000000, 0.0279626736, 0.0221929011, 0.00000E+000,
 6.6666666667, 0.0356608995, 0.1344698899, 0.00000E+000,
 6.8333333333, 0.0495856317, 0.0915158878, 0.00000E+000,
 7.0000000000, 0.0474346568, 0.0312609682, 0.00000E+000,
 7.1666666667, 0.0330570878,-0.0231474345, 0.00000E+000,
 7.3333333333, 0.0320382049,-0.0434312688, 0.00000E+000,
 7.5000000000, 0.0289815564, 0.1036861884, 0.00000E+000,
 7.6666666667, 0.0467554016, 0.0369881685, 0.00000E+000,
 7.8333333333, 0.0184531004, 0.0213576844, 0.00000E+000,
 8.0000000000, 0.0343023890,-0.0122896173, 0.00000E+000,
 8.1666666667, 0.0433591254,-0.0517834358, 0.00000E+000,
 8.3333333333, 0.0420006150, 0.1537991908, 0.00000E+000,
