QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,6000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,avearge,max
0.00E+00,0.067133058,-0.042118785,0.00E+00,0.012507137,476.3934055
0.166666667,0.112303531,0.016585018,0.00E+00,0.064444274,
0.333333333,0.010302038,-0.082328504,0.00E+00,-0.036013233,
0.5,0.06973687,-0.029351901,0.00E+00,0.020192484,
0.666666667,0.124303707,0.028993951,0.00E+00,0.076648829,
0.833333333,0.066453803,-0.023982651,0.00E+00,0.021235576,
1,0.089435272,0.0064431,0.00E+00,0.047939186,
1.166666667,-0.019698402,-0.113231522,0.00E+00,-0.066464962,
1.333333333,0.062151853,-0.040806302,0.00E+00,0.010672776,
1.5,0.106643071,0.015869117,0.00E+00,0.061256094,
1.666666667,0.072453891,-0.012766884,0.00E+00,0.029843504,
1.833333333,0.08683146,0.001312483,0.00E+00,0.044071972,
2,-0.023773933,-0.115140589,0.00E+00,-0.069457261,
2.166666667,0.076529422,-0.022312218,0.00E+00,0.027108602,
2.333333333,0.142983226,0.060016286,0.00E+00,0.101499756,
2.5,0.038604339,-0.042596052,0.00E+00,-0.001995857,
2.666666667,0.073472774,-0.022073584,0.00E+00,0.025699595,
2.833333333,-0.008377481,-0.103447555,0.00E+00,-0.055912518,
3,0.083888021,-0.012408934,0.00E+00,0.035739543,
3.166666667,0.115926226,0.039613135,0.00E+00,0.07776968,
3.333333333,0.069170824,-0.017300918,0.00E+00,0.025934953,
3.5,0.081850255,-0.002744284,0.00E+00,0.039552986,
3.666666667,-0.017887054,-0.108458855,0.00E+00,-0.063172955,
3.833333333,0.074604866,-0.012647567,0.00E+00,0.030978649,
4,0.144568154,0.065146903,0.00E+00,0.104857529,
4.166666667,0.057510276,-0.026607618,0.00E+00,0.015451329,
4.333333333,0.077774724,-0.015869117,0.00E+00,0.030952803,
4.5,-0.014943615,-0.096885138,0.00E+00,-0.055914377,
4.666666667,0.098152381,-0.013840734,0.00E+00,0.042155823,
4.833333333,0.128492447,0.036391585,0.00E+00,0.082442016,
5,0.084793694,-0.011573717,0.00E+00,0.036609989,
5.166666667,0.03849113,-0.038539285,0.00E+00,-2.40778E-05,
5.333333333,-0.023773933,-0.12981654,0.00E+00,-0.076795236,
5.5,0.106869489,0.004176084,0.00E+00,0.055522786,
5.666666667,0.130417004,0.050828903,0.00E+00,0.090622953,
5.833333333,0.086152205,-0.010141917,0.00E+00,0.038005144,
6,0.069170824,-0.010738501,0.00E+00,0.029216162,
6.166666667,-0.024113561,-0.104044138,0.00E+00,-0.06407885,
6.333333333,0.108567627,0.017658868,0.00E+00,0.063113247,
6.5,0.114341297,0.035795002,0.00E+00,0.075068149,
6.666666667,0.002377393,-0.041641519,0.00E+00,-0.019632063,
6.833333333,0.082755929,0.011693034,0.00E+00,0.047224481,
7,0.010075619,-0.032573452,0.00E+00,-0.011248916,
7.166666667,0.04415159,-0.044743752,0.00E+00,-0.000296081,
7.333333333,0.06554813,-0.055362936,0.00E+00,0.005092597,
7.5,0.137888811,0.052141386,0.00E+00,0.095015099,
7.666666667,0.078680397,-0.023266751,0.00E+00,0.027706823,
7.833333333,0.061019761,-0.020403151,0.00E+00,0.020308305,
8,0.080491745,-0.016107751,0.00E+00,0.032191997,
8.166666667,0.091586247,-0.011693034,0.00E+00,0.039946606,
8.333333333,0.072680309,-0.026607618,0.00E+00,0.023036346,
8.5,0.074831284,-0.018852034,0.00E+00,0.027989625,
8.666666667,0.004075531,-0.081373971,0.00E+00,-0.03864922,
