QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:,,
Sample Rate:,5000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Sec,Sec,Sec,
Y Axis Units,g,deg,Hz,
Seconds,Real,Real,Real,
 0.00000E+000, 0.5243998871,99.7999292262, 0.00000E+000,
 2.00000E-004, 0.5151773124,99.8008303764, 0.00000E+000,
 4.00000E-004, 0.5108877427,99.7897591035, 0.00000E+000,
 6.00000E-004, 0.5241854086,99.7979123665, 0.00000E+000,
 8.00000E-004, 0.5417726441,99.7843522028, 0.00000E+000,
 0.0010000000, 0.5443463858,99.8039200339, 0.00000E+000,
 0.0012000000, 0.5295473706,99.7777437687, 0.00000E+000,
 0.0014000000, 0.5203247959,99.7774004734, 0.00000E+000,
 0.0016000000, 0.5078850440,99.8040487696, 0.00000E+000,
 0.0018000000, 0.5334079833,99.8029759719, 0.00000E+000,
 0.0020000000, 0.5252578010,99.8134035661, 0.00000E+000,
 0.0022000000, 0.5241854086,99.7882142748, 0.00000E+000,
 0.0024000000, 0.5181800111,99.7992426357, 0.00000E+000,
 0.0026000000, 0.5149628339,99.7726372513, 0.00000E+000,
 0.0028000000, 0.5346948542,99.7382648113, 0.00000E+000,
 0.0030000000, 0.5220406238,99.7709207749, 0.00000E+000,
 0.0032000000, 0.5267591504,99.7688180913, 0.00000E+000,
 0.0034000000, 0.5261157149,99.7788594783, 0.00000E+000,
 0.0036000000, 0.5068126516,99.7597207664, 0.00000E+000,
 0.0038000000, 0.5271881073,99.7377927802, 0.00000E+000,
 0.0040000000, 0.5329790263,99.7164226489, 0.00000E+000,
 0.0042000000, 0.5235419731,99.7279659528, 0.00000E+000,
 0.0044000000, 0.5216116668,99.7348318584, 0.00000E+000,
 0.0046000000, 0.5342658972,99.7244900881, 0.00000E+000,
 0.0048000000, 0.5323355909,99.7387797542, 0.00000E+000,
 0.0050000000, 0.5280460212,99.7839230837, 0.00000E+000,
 0.0052000000, 0.5280460212,99.7998434024, 0.00000E+000,
 0.0054000000, 0.5374830744,99.7974403355, 0.00000E+000,
 0.0056000000, 0.5269736288,99.7963675377, 0.00000E+000,
 0.0058000000, 0.5398423377,99.7775721210, 0.00000E+000,
 0.0060000000, 0.5216116668,99.7442724787, 0.00000E+000,
 0.0062000000, 0.5293328921,99.7450448931, 0.00000E+000,
 0.0064000000, 0.5179655326,99.7456885717, 0.00000E+000,
 0.0066000000, 0.5278315428,99.7537130989, 0.00000E+000,
 0.0068000000, 0.5295473706,99.7595491187, 0.00000E+000,
 0.0070000000, 0.5361962035,99.7692901223, 0.00000E+000,
 0.0072000000, 0.5355527681,99.7860257673, 0.00000E+000,
 0.0074000000, 0.5299763276,99.7945223256, 0.00000E+000,
 0.0076000000, 0.5389844238,99.8018602622, 0.00000E+000,
 0.0078000000, 0.5323355909,99.7712640702, 0.00000E+000,
 0.0080000000, 0.5179655326,99.7378356921, 0.00000E+000,
 0.0082000000, 0.5192524035,99.7397667281, 0.00000E+000,
 0.0084000000, 0.5188234465,99.7418694117, 0.00000E+000,
 0.0086000000, 0.5228985377,99.7578326423, 0.00000E+000,
 0.0088000000, 0.5366251605,99.8098847894, 0.00000E+000,
 0.0090000000, 0.5220406238,99.7974403355, 0.00000E+000,
 0.0092000000, 0.5289039352,99.7865836222, 0.00000E+000,
 0.0094000000, 0.5119601351,99.7662004648, 0.00000E+000,
 0.0096000000, 0.5301908061,99.7348318584, 0.00000E+000,
 0.0098000000, 0.5263301934,99.7188257159, 0.00000E+000,
 0.0100000000, 0.5098153503,99.7241467928, 0.00000E+000,
 0.0102000000, 0.5331935048,99.7577039066, 0.00000E+000,
